Chronologic VCS simulator copyright 1991-2017
Contains Synopsys proprietary information.
Compiler version N-2017.12-SP2-2_Full64; Runtime version N-2017.12-SP2-2_Full64;  Feb  6 22:00 2019
time =                 1130ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  8 
 
time =                 1135ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  7 
 
time =                 1140ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  7 
 
time =                 1145ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  6 
 
time =                 1150ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  6 
 
time =                 1155ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  5 
 
time =                 1160ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  5 
 
time =                 1165ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  4 
 
time =                 1170ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  4 
 
time =                 1175ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  3 
 
time =                 1180ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  3 
 
time =                 1185ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  2 
 
time =                 1190ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  2 
 
time =                 1195ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  1 
 
time =                 1200ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  1 
 
time =                 1205ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                 1210ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                 1215ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                 1220ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                 1225ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                 1230ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                 1235ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                 1240ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                 1245ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                 1250ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                 1255ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                 1260ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                 1265ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                 1270ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                 1275ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                 1280ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                 1285ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                 1290ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                 1295ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                 1300ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                 1305ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                 1310ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                 1315ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                 1320ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                 1325ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                 1330ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                 1335ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                 1340ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
